,co2,longitude,latitude,time
197,390.79135,83.87638,52.652077,2009-04-21 07:35:27.429686
198,389.91025,86.178696,52.403732,2009-04-21 07:35:31.890092
199,403.7828,88.45979,52.063557,2009-04-21 07:35:36.348769
200,387.3556,90.682106,51.63356,2009-04-21 07:35:40.808089
201,388.37115,92.17725,49.81216,2009-04-21 07:35:49.727171
202,399.9463,90.04926,50.321854,2009-04-21 07:35:54.185968
203,397.393,87.87934,50.73637,2009-04-21 07:35:58.646254
204,393.72754,82.995605,49.973206,2009-04-21 07:36:12.024174
205,427.19943,85.17008,49.737015,2009-04-21 07:36:16.483494
206,390.27063,86.79541,48.07209,2009-04-21 07:36:43.240782
207,390.3944,84.693054,48.39873,2009-04-21 07:36:47.698975
208,391.54956,89.706345,44.541317,2009-04-21 07:37:18.915663
209,390.90967,85.330864,44.06341,2009-04-21 07:37:50.131668
210,389.20303,87.24846,43.676632,2009-04-21 07:37:54.592074
211,386.1414,87.11536,37.897327,2009-04-21 07:39:28.239162
212,388.11975,86.680244,36.55592,2009-04-21 07:39:32.699569
213,384.9053,83.343506,31.614689,2009-04-21 07:41:06.347743
214,385.28305,81.70619,31.963654,2009-04-21 07:41:10.807063
215,393.32468,84.55084,29.86056,2009-04-21 07:41:42.023188
216,386.40936,82.59946,28.92211,2009-04-21 07:41:50.940662
217,392.20883,77.764626,29.780254,2009-04-21 07:42:04.320673
218,391.36475,77.48914,28.405191,2009-04-21 07:42:08.779873
219,399.6925,79.07758,28.193218,2009-04-21 07:42:13.239756
220,395.4697,80.66585,27.912565,2009-04-21 07:42:17.697990
221,394.92685,83.78437,27.171131,2009-04-21 07:42:26.617072
222,393.20673,81.8864,26.220718,2009-04-21 07:42:35.536155
223,392.24774,76.90232,25.698145,2009-04-21 07:42:53.373354
224,398.70447,78.45217,25.485117,2009-04-21 07:42:57.833680
225,392.15692,80.00325,25.207468,2009-04-21 07:43:02.292437
226,392.94736,81.53761,24.871714,2009-04-21 07:43:06.752803
227,393.14838,83.05286,24.478563,2009-04-21 07:43:11.211560
228,389.6773,82.71915,23.117655,2009-04-21 07:43:15.671886
229,391.6119,79.67983,23.854013,2009-04-21 07:43:24.589962
230,390.38336,76.59094,24.36488,2009-04-21 07:43:33.509085
231,390.0348,76.32558,22.987827,2009-04-21 07:43:37.968285
232,392.50482,77.84279,22.7774,2009-04-21 07:43:42.428168
233,389.2764,79.361244,22.499733,2009-04-21 07:43:46.887367
234,390.01346,80.86461,22.167559,2009-04-21 07:43:51.347291
235,391.11835,82.35071,21.78055,2009-04-21 07:43:55.805484
236,389.05307,82.03021,20.417595,2009-04-21 07:44:00.265408
237,390.88934,80.54012,20.815008,2009-04-21 07:44:04.724567
238,389.81702,79.04704,21.146051,2009-04-21 07:44:09.184490
239,389.38672,76.01946,21.656422,2009-04-21 07:44:18.103573
240,390.0388,75.75717,20.277378,2009-04-21 07:44:22.562772
241,390.17184,78.73666,19.790443,2009-04-21 07:44:31.481855
